,Time,Temperature,TargetPWM,TempSmoothed,TimeShifted,EndValue,63pctEndValue,TempAllSmoothed,TempMean4,TempMean8
4068,314.556,53.82,17.0,53.87913832761226,1830.719,103.5,65.205,53.87913836614374,53.832499999999996,53.845
4069,315.005,53.92,17.0,53.8865841293255,1831.1680000000001,103.5,65.205,53.886584177175216,53.870000000000005,53.85125
4070,315.454,53.92,17.0,53.894061186289804,1831.617,103.5,65.205,53.89406124451139,53.89500000000001,53.8575
4071,315.904,53.96,17.0,53.90159798066346,1832.067,103.5,65.205,53.901598050190294,53.90500000000001,53.868750000000006
4072,316.353,53.92,17.0,53.90922231814258,1832.516,103.5,65.205,53.909222399689355,53.93000000000001,53.88125
4073,316.803,53.92,17.0,53.91695798490439,1832.966,103.5,65.205,53.91695807883996,53.93000000000001,53.900000000000006
4074,317.252,53.92,17.0,53.92482142475381,1833.415,103.5,65.205,53.92482153095556,53.93000000000001,53.9125
4075,317.707,53.96,17.0,53.93281877118013,1833.87,103.5,65.205,53.932818888886764,53.93,53.917500000000004
4076,318.157,53.87,17.0,53.94094358274265,1834.32,103.5,65.205,53.94094371042655,53.917500000000004,53.92375
4077,318.606,53.96,17.0,53.94917560518846,1834.769,103.5,65.205,53.94917574047045,53.9275,53.928749999999994
4078,319.056,53.92,17.0,53.95748081706728,1835.219,103.5,65.205,53.95748095669518,53.927499999999995,53.928749999999994
4079,319.505,54.01,17.0,53.96581290981931,1835.6680000000001,103.5,65.205,53.96581304972751,53.94,53.935
4080,319.953,53.96,17.0,53.974116216476396,1836.116,103.5,65.205,53.97411635193392,53.9625,53.94
4081,320.402,54.01,17.0,53.982329948421985,1836.565,103.5,65.205,53.98233007426462,53.975,53.95125
4082,320.852,53.96,17.0,53.990393444057425,1837.0149999999999,103.5,65.205,53.99039355498787,53.985,53.95625
4083,321.302,53.92,17.0,53.99825199546991,1837.4650000000001,103.5,65.205,53.99825208639994,53.962500000000006,53.95125
4084,321.758,54.01,17.0,54.005862717476376,1837.921,103.5,65.205,54.00586278387722,53.974999999999994,53.96875
4085,322.208,54.06,17.0,54.01319987289432,1838.371,103.5,65.205,54.0131999111189,53.9875,53.98125
4086,322.656,54.01,17.0,54.02025907851786,1838.819,103.5,65.205,54.02025908606064,54.0,53.9925
4087,323.105,54.06,17.0,54.027059891166566,1839.268,103.5,65.205,54.027059866832865,54.035,53.99875
4088,323.554,54.06,17.0,54.03364640778923,1839.717,103.5,65.205,54.03364635175628,54.0475,54.011250000000004
4089,324.004,54.11,17.0,54.040085695931865,1840.167,103.5,65.205,54.040085609697556,54.06,54.02375
4090,324.453,54.06,17.0,54.046464082577714,1840.616,103.5,65.205,54.046463968808794,54.072500000000005,54.03625
4091,324.902,54.01,17.0,54.05288154778879,1841.065,103.5,65.205,54.05288141009351,54.06,54.0475
4092,325.352,54.01,17.0,54.05944467040561,1841.5149999999999,103.5,65.205,54.0594445130624,54.0475,54.0475
4093,325.803,54.01,17.0,54.06625873323295,1841.966,103.5,65.205,54.066258560908146,54.022499999999994,54.04125
